youichi,0,2,12,16,20,24,27,22,28,15,30,0
CPU,3,8,9,12,15,12,25,26,13,15,30,50
player1,1,4,9,8,10,18,23,29,16,15,30,50
CPU,1,2,9,12,15,24,17,29,22,15,0,0
player1,1,6,9,12,20,12,20,26,0,15,30,0
CPU,1,2,6,4,10,12,24,22,24,15,0,0
player1,2,2,3,8,5,12,23,0,17,15,30,0
CPU,0,6,12,12,15,12,25,19,26,15,30,0
player1,2,2,12,8,5,18,24,26,28,15,0,0
CPU,3,4,3,4,10,18,17,17,27,15,30,0
sol,1,0,9,4,0,6,11,0,22,15,30,0
CPU,0,4,9,4,15,12,18,17,28,15,30,0
sol,2,2,6,8,15,24,27,9,0,15,30,50
CPU,0,4,6,8,10,18,23,0,28,0,30,0
player1,1,2,9,8,10,18,23,0,0,15,0,50
CPU,0,6,6,4,10,12,25,11,19,15,30,0
player1,1,4,3,8,10,18,23,17,0,15,30,50
CPU,0,4,9,12,10,18,23,0,23,15,30,0
player1,0,6,6,8,15,18,18,6,23,15,30,50
CPU,1,4,3,8,15,12,23,27,28,15,0,0
player1,1,0,6,8,20,30,25,27,0,15,30,0
CPU,2,4,6,12,15,12,25,9,28,15,30,50
yakinikusun,3,4,12,8,15,18,24,0,26,15,30,0
CPU,2,6,9,12,15,18,25,14,14,15,30,0
ao4,3,6,0,16,20,24,22,20,27,15,30,50
CPU,2,4,3,8,10,12,26,0,26,15,30,50
ao4,0,6,3,8,15,24,22,0,22,15,0,50
CPU,2,4,9,12,15,12,26,10,24,15,30,50
wkm,1,4,9,12,15,6,16,0,11,0,30,0
CPU,0,4,6,8,20,12,17,6,16,15,30,0
player1,1,6,3,4,10,24,29,29,0,15,30,50
CPU,1,4,6,4,15,12,28,14,19,15,0,50
player1,1,0,6,12,20,24,26,26,28,15,30,0
CPU,0,6,3,16,15,12,24,21,24,15,30,50
だち,2,4,9,4,20,24,17,26,26,15,30,0
CPU,0,4,3,8,15,18,23,25,14,15,0,0
player1,1,4,6,8,15,18,27,26,26,15,30,0
CPU,3,2,12,8,10,18,23,22,28,15,30,0
solkaze,1,0,9,8,15,24,21,0,22,15,30,50
CPU,2,2,9,8,15,18,26,21,24,15,30,0
player1,3,0,6,16,15,18,24,0,24,15,0,0
CPU,1,4,6,4,20,24,24,0,28,15,0,50
player1,1,8,9,12,10,18,19,29,27,15,30,0
CPU,1,6,6,12,15,24,23,10,24,15,0,0
player1,3,0,9,4,15,18,17,24,28,15,30,0
CPU,1,2,6,8,10,12,17,23,28,15,30,0
player1,3,0,6,8,15,12,24,21,26,0,30,0
CPU,0,6,6,8,10,12,21,0,28,15,30,0
player1,4,2,3,8,15,30,16,0,24,15,30,0
CPU,0,0,9,12,15,18,25,16,28,15,30,0
player1,1,0,0,12,10,12,21,22,0,15,30,0
CPU,0,4,9,8,15,12,24,16,22,15,30,50
player1,2,4,0,12,10,12,24,17,22,15,30,0
player2,1,4,3,8,10,12,20,14,8,15,30,50
player,3,6,6,12,20,24,24,18,24,15,30,50
name,3,4,3,12,10,18,26,6,21,15,30,0
そる,1,2,0,12,10,18,23,24,23,0,0,50
蒼四,2,0,9,8,15,18,21,0,22,15,0,50
