player1,1,4,6,8,15,18,27,26,26,15,30,0
CPU,3,2,12,8,10,18,23,22,28,15,30,0
solkaze,1,0,9,8,15,24,21,0,22,15,30,50
CPU,2,2,9,8,15,18,26,21,24,15,30,0
player1,3,0,6,16,15,18,24,0,24,15,0,0
CPU,1,4,6,4,20,24,24,0,28,15,0,50
player1,1,8,9,12,10,18,19,29,27,15,30,0
CPU,1,6,6,12,15,24,23,10,24,15,0,0
player1,3,0,9,4,15,18,17,24,28,15,30,0
CPU,1,2,6,8,10,12,17,23,28,15,30,0
player1,3,0,6,8,15,12,24,21,26,0,30,0
CPU,0,6,6,8,10,12,21,0,28,15,30,0
player1,4,2,3,8,15,30,16,0,24,15,30,0
CPU,0,0,9,12,15,18,25,16,28,15,30,0
player1,1,0,0,12,10,12,21,22,0,15,30,0
CPU,0,4,9,8,15,12,24,16,22,15,30,50
player1,2,4,0,12,10,12,24,17,22,15,30,0
player2,1,4,3,8,10,12,20,14,8,15,30,50
player,3,6,6,12,20,24,24,18,24,15,30,50
name,3,4,3,12,10,18,26,6,21,15,30,0
そる,1,2,0,12,10,18,23,24,23,0,0,50
蒼四,2,0,9,8,15,18,21,0,22,15,0,50
あいうえお,1,2,9,8,10,12,13,0,0,15,0,0
かきくけこ,1,4,0,8,10,12,11,13,0,15,0,0
Player1,1,2,3,4,5,6,7,8,9,10,11,12
Player2,2,3,4,5,6,7,8,9,10,11,12,13
Player1,1,2,3,4,5,6,7,8,9,10,11,12
Player2,2,3,4,5,6,7,8,9,10,11,12,13
Player1,1,2,3,4,5,6,7,8,9,10,11,12
Player2,2,3,4,5,6,7,8,9,10,11,12,13
あい,4,2,16,7,25,30,24,29,26,13,18,52
David,6,5,4,9,8,7,22,27,28,12,17,51
えい,5,3,7,6,8,9,23,30,25,15,20,50
ボブ,3,6,5,8,7,9,21,28,27,14,19,55
あい,4,2,8,7,5,6,24,29,26,13,18,52
David,6,5,4,9,8,7,22,27,28,12,17,49
あい,4,2,16,7,25,30,24,29,26,13,18,52
David,6,5,4,9,8,7,22,27,28,12,17,51
えい,5,3,7,6,8,9,23,30,25,15,20,50
ボブ,3,6,5,8,7,9,21,28,27,14,19,55
あい,4,2,8,7,5,6,24,29,26,13,18,52
David,6,5,4,9,8,7,22,27,28,12,17,49
あい,4,2,16,7,25,30,24,29,26,13,18,52
David,6,5,4,9,8,7,22,27,28,12,17,51
えい,5,3,7,6,8,9,23,30,25,15,20,50
ボブ,3,6,5,8,7,9,21,28,27,14,19,55
あい,4,2,8,7,5,6,24,29,26,13,18,52
David,6,5,4,9,8,7,22,27,28,12,17,49
